,Project Name,Approved Budget,Start Date,End Date,Name Of Awarded Company,Amount Awarded,Date Of Award,Acceptance Date,Procuring Entity,Money Ratio,Category,,,
116,"Procurement of 34,000 Sacks of Rice (25 Kilos Per Sack) under P.R No. 1725-2020- Bayanihan Grant for Cities/Municipalities",36040000,15/05/2020,15/06/2020,Goodluck Rice Mill,36040000,12/05/2020,12/05/2020,City Government of Butuan,1,Food,,,
117,Supply and Delivery of Testing Kits for COVID 19 Response for the Department of Health (DOH),35437500,05/05/2020,01/09/2020,"Lifeline Diagnostic Supplies, Inc.",35437500,05/05/2020,05/05/2020,Procurement Service - DBM,1,Medical,,,
118,"PURCHASE OF 16,045 CAVANS OF COMMERCIAL RICE FOR RELIEF OPERATIONS",35299000,20/03/2020,27/03/2020,KRESA NIRIIS TRADING,35299000,20/03/2020,20/03/2020,Provincial Government of Bulacan,1,Food,,,
119,"Purchase of grocery items to be given to at least 125,000 families affected by the COVID-19 Pandemic",35250000,23/04/2020,28/04/2020,TWIS Trading,35112500,22/04/2020,28/04/2020,City Government of Bi\\u00c3\\u00b1an,0.996099291,Food,,,
120,"Purchase of grocery items/relief goods to be given to at least 125,000 families affected by the COVID-19 Pandemic",35250000,23/04/2020,28/04/2020,TWIS TRADING,35112500,22/04/2020,28/04/2020,City Government of Bi\\u00c3\\u00b1an,0.996099291,Food,,,
121,Supply and delivery of Hybrid Rice Seeds NSIC RC 132H,35000000,07/05/2020,12/05/2020,SL Agritech Corporation,35000000,05/05/2020,22/05/2020,Department of Agriculture-RFO 12,1,Food,,,
122,"Purchase of 23,142 sacks Sinandomeng rice 25 kilos, 1,293 boxes Sardines 155g, 281 boxes Corned Beef 150g, 531 boxes Meatloaf 150g, 37,646 dozens Eggs and 13,786 pcs. dressed chicken for distribution",34803959,10/06/2020,19/06/2020,Mel-C Trading,34803959,05/06/2020,05/06/2020,Provincial Government of Batangas,1,Food,,,
123,Procurement of Non-Invasive Ventilator under P.R No. 1745-2020- Bayanihan Grant for Cities/Municipality,34747125,18/05/2020,25/05/2020,Archinet International Inc.,34747052.25,07/05/2020,07/05/2020,City Government of Butuan,0.999997906,Medical,,,
124,Supply and Delivery of Medical Supplies,34374040,06/04/2020,16/04/2020,Dio Implant Phils. Corp.,34374040,06/04/2020,15/04/2020,City Government of Taguig,1,Medical,,,
125,PROCUREMENT OF RELIEF GOODS,34300000,16/04/2020,21/04/2020,NANSMAR MARKETING BUY & SELL AGRI PRODUCTS,34300000,16/04/2020,16/04/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
126,Rice,34118200,24/04/2020,29/04/2020,XARITO TRADING INC.,34118200,23/04/2020,24/04/2020,LGU Tagbilaran City,1,Food,,,
127,Purchase of Medical Equipment,35000000,18/06/2020,18/07/2020,Robustan Inc.,33600000,17/06/2020,17/06/2020,City Government of Antipolo,0.96,Medical,,,
128,Provision of Food Commodities to Families in Various Barangays of Lipa City,66000000,21/04/2020,24/04/2020,Abeth and Lulu Rice Store,33000000,21/04/2020,24/04/2020,lipa city government,0.5,Food,,,
129,"PURCHASE OF 15,000 SACKS OF COMMERCIAL RICE 50 KILOS PER SACK FOR ASSISTANCE/RELIEF GOODS FOR BULACAN RESIDENTS (COVID 19)",33000000,20/04/2020,27/04/2020,MSIA GENERAL MERCHANDISE,33000000,20/04/2020,27/04/2020,Provincial Government of Bulacan,1,Food,,,
130,"PURCHASE OF 15,000 SACKS OF COMMERCIAL RICE 50 KILOS PER SACK FOR ASSISTANCE/RELIEF GOODS FOR BULACAN RESIDENTS (COVID 19)",33000000,06/04/2020,13/04/2020,GOYARD TRADING,33000000,06/04/2020,06/04/2020,Provincial Government of Bulacan,1,Food,,,
131,Provision of Food Commodities to Families in Various Barangays of Lipa City,66000000,21/04/2020,27/04/2020,Jay-R and Marie Rice Store,33000000,21/04/2020,27/04/2020,lipa city government,0.5,Food,,,
132,30-Units Turbine Ventilator Machine with High Flow Oxygen Therapy,33000000,13/05/2020,03/06/2020,PRIME MEDIX INTL.,33000000,12/05/2020,12/05/2020,VETERANS MEMORIAL MEDICAL CENTER,1,Medical,,,
133,"Procureemnt of 33,000 sacks commercial rice for COVID-10 relief operation",33000000,23/04/2020,27/04/2020,Progressive Grains Milling Corporation,33000000,23/04/2020,24/04/2020,"LGU City of Alaminos, Pangasinan",1,Food,,,
134,Procurement of Rice - Food Assistance,33000000,29/04/2020,31/05/2020,Bosh Megatrade and Services Corporation / Donna R. Masiglat,33000000,27/04/2020,27/04/2020,City Government of Lamitan,1,Food,,,
135,ONE (1) UNIT FORTY SLICE CT SCAN MACHINE,32000000,22/05/2020,23/06/2020,"MEDICOTEK, INC.",32000000,23/06/2020,23/06/2020,VETERANS MEMORIAL MEDICAL CENTER,1,Medical,,,
136,Procurement of Hospital Equipment and Supplies,73741267,30/04/2020,14/05/2020,Himex Corporation,31366250,28/04/2020,12/05/2020,Provincial Government of Nueva Ecija,0.425355453,Medical,,,
137,Supply and Delivery of Medical Equipment for Partial Establishment of Intensive Care Unit and Radiology Department in Cabuyao City Hospital - Isolation Facility,31080000,15/05/2020,28/05/2020,"GranSol Trading Company, Inc.",31080000,15/05/2020,28/05/2020,CITY GOVERNMENT OF CABUYAO,1,Medical,,,
138,Supply and Delivery of Testing Kits for COVID 19 Response for the Department of Health (DOH),30888000,30/06/2020,21/07/2020,"V Integrated Energy Systems and Resources, Inc & Unimasters Conglomeration, Inc",30888000,24/06/2020,24/06/2020,Procurement Service - DBM,1,Medical,,,
139,"Azithromycin 500mg (as base/as dihydrate), ETC.",31807497,02/04/2020,10/04/2020,Zuellig Pharma Corp.,30734890,30/03/2020,02/04/2020,Western Visayas Medical Center,0.96627817,Medical,,,
140,Supply and Delivery of Online Learning Instructional Materials for Teachers for Taguig Online Resources and Community Hub (TORCH),30250000,07/04/2020,08/05/2020,"Xplore Philippines, Inc.",30250000,06/04/2020,04/05/2020,City Government of Taguig,1,Others,,,
141,"Purchase of canned goods for the Relief Operation due to Enhance Community Quarantine (COVID19, Urdaneta City)",30077210,23/04/2020,24/04/2020,Homero's Rice Store,30077210,24/04/2020,29/04/2020,CITY GOVERNMENT OF URDANETA,1,Food,,,
142,40 SLICE CT SCAN MACHINE,30000000,18/06/2020,25/07/2020,MEDICOTEK INC,30000000,18/06/2020,19/06/2020,VICENTE SOTTO MEMORIAL MEDICAL CENTER,1,Medical,,,
143,Supply and Delivery of Ethyl Alcohol and Personal Protective Equipment (PPE) Suits,29771160,30/03/2020,09/04/2020,Lakshmi Zane Enterprises,29771160,30/03/2020,08/04/2020,City Government of Taguig,1,Medical,,,
144,Supply and Delivery of Premium Rice,29298860,24/04/2020,30/04/2020,R. Evangelista Ricemill,29298860,24/04/2020,30/04/2020,CITY GOVERNMENT OF CABUYAO,1,Food,,,
145,PURCHASE OF VARIOUS GROCERY ITEMS FOR RELIEF OPERATIONS,29025000,17/04/2020,24/04/2020,MANQUE PROSPERE GENERAL MERCHANDISE,29025000,17/04/2020,17/04/2020,Provincial Government of Bulacan,1,Food,,,
146,Supply and Delivery of Various Medical Supplies,28749495,19/03/2020,29/03/2020,Gold Medlines Drug Distribution,28749495,18/03/2020,20/03/2020,City Government of Taguig,1,Medical,,,
147,"Purchase of 15,882 sack of Rice Well-Milled White Rice for Emergency Relief Assistance to be used in the Preparedness and Response Operations for the Covid19",30969900,25/05/2020,15/07/2020,SILVERICE TRADING CORP,28587600,19/05/2020,25/05/2020,Pasay City Government,0.923076923,Food,,,
148,Procurement of Rice,30112192.85,20/04/2020,22/04/2020,Double J Grains Trading,28484506.75,21/04/2020,23/04/2020,LGU-Science City of Mu\\u00c3\\u00b1oz,0.945945946,Food,,,
149,Supply and Delivery of Formulated Milk,28406400,23/04/2020,03/05/2020,BV Three Two Four Printing and Trading,28406400,22/04/2020,02/05/2020,City Government of Taguig,1,Food,,,
150,"20H00071 - Rehabilitation of Disaster-Related Infrastructure and Other Facilities, Construction of 2 Units â€œWe Heal As Oneâ€ Off-Site Dormitory / Isolation Facility for Medical Personnel at Hoops D",28000000,13/07/2020,03/08/2020,Quirante Construction,27999000,07/07/2020,08/07/2020,DPWH_Regional Office7,0.999964286,Others,,,
151,"20H00078 - Rehabilitation of Disaster-Related Infrastructure and Other Facilities, Construction of 2 Units â€œWe Heal As Oneâ€ Off-Site Dormitory / Isolation Facility for Medical Personnel at Mactan ",28000000,13/07/2020,03/08/2020,Quirante Construction,27999000,07/07/2020,08/07/2020,DPWH_Regional Office7,0.999964286,Others,,,
152,"Purchase of 26,665 sacks Sinandomeng Rice, 25 kilos each, as rice subsidy to different individuals and sectoral groups affected by COVID - 19",27998250,08/05/2020,17/05/2020,Jorda Trading,27998250,06/05/2020,06/05/2020,Provincial Government of Batangas,1,Food,,,
153,Supply and Delivery of Testing Kits for COVID 19 Response for the Department of Health (DOH),27668520,30/06/2020,21/07/2020,"JV Integrated Energy Systems and Resources, Inc & Unimasters Conglomeration, Inc",27668520,24/06/2020,24/06/2020,Procurement Service - DBM,1,Medical,,,
154,PURCHASE OF VARIOUS GROCERY ITEMS FOR RELIEF OPERATIONS,27500000,20/04/2020,27/04/2020,MAR-TONI GENERAL MERCHANDISE,27500000,20/04/2020,20/04/2020,Provincial Government of Bulacan,1,Food,,,
155,Supply and Delivery of Medical Supplies for Frontliners and Patients,28100000,08/05/2020,15/05/2020,Hafid N' Erasmus Corporation,27170000,20/05/2020,20/05/2020,Office of Civil Defense,0.966903915,Medical,,,
156,Supply and Delivery of Preloaded SIM Cards,27000000,07/04/2020,17/04/2020,Smart Communications Inc.,27000000,06/04/2020,17/04/2020,City Government of Taguig,1,Others,,,
157,Procurement of Various Medical Equipment,26960000,19/05/2020,03/06/2020,Miyana Industrial Marketing and Services,26960000,23/04/2020,24/07/2020,Bicol Regional Training and Teaching Hospital,1,Medical,,,
158,"5,480 bags NSIC Rc350H",27400000,08/05/2020,08/06/2020,"Seedworks Philippines, Inc.",26852000,28/04/2020,04/05/2020,Department of Agriculture RFO 5,0.98,Food,,,
159,PURCHASE OF VARIOUS GROCERY ITEMS FOR RELIEF OPERATIONS,26775576,20/03/2020,27/03/2020,MAR-TONI GENERAL MERCHANDISE,26775576,20/03/2020,20/03/2020,Provincial Government of Bulacan,1,Food,,,
160,Supply and Delivery of Coveralls Pursuant to RA 11469,38985000,22/06/2020,22/06/2021,Reliance Producers Cooperative,26717600,19/06/2020,23/06/2020,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,0.685330255,Medical,,,
161,"Contract ID No. 20Z00004, Design and Build of Two (2) Units Off-Site Dormitory for Medical Personnel at the Lung Center of the Philippines",26566096.1,06/07/2020,26/07/2020,Almeria International Construction Corporation,26517984.95,16/06/2020,16/06/2020,Department of Public Works and Highways,0.998189002,Others,,,
162,20Z00004: Design and Build of Two (2) Units Off-Site Dormitory for Medical Personnel at Lung Center of the Philippines,31000000,06/07/2020,26/07/2020,Almeria International Construction Corporation,26517984.95,16/06/2020,16/06/2020,DPWH-Central Office,0.855418869,Others,,,
163,"20H00074 - Rehabilitation of Disaster-Related Infrastructure and Other Facilities, Construction of 2 Units Isolation Facility for COVID-19 Patients at DPWH Regional Office VII, South Road Properties,",26000000,13/07/2020,03/08/2020,P.B. Obial Constuction,25999500,07/07/2020,08/07/2020,DPWH_Regional Office7,0.999980769,Others,,,
164,"20H00072 - Rehabilitation of Disaster-Related Infrastructure and Other Facilities, Construction of 2 Units Isolation Facility for COVID-19 Patients at Hoops Dome, Gun-ob Street, Lapu-Lapu City, Cebu",26000000,13/07/2020,03/08/2020,Quirante Construction,25999000,07/07/2020,08/07/2020,DPWH_Regional Office7,0.999961538,Others,,,
165,"20H00079 - Rehabilitation of Disaster-Related Infrastructure and Other Facilities, Construction of 2 Units Isolation Facility for COVID-19 Patients at Mactan Cebu International Airport (MCIA) Compound",26000000,13/07/2020,03/08/2020,Quirante Construction,25999000,07/07/2020,08/07/2020,DPWH_Regional Office7,0.999961538,Others,,,
166,Medical Equipment for the Use of LPH-San Pablo City District Hospital in Health Premises to Reduce Risk of Infection and to Reduce Risk of Contamination and Prevention of NCOV,25800000,28/04/2020,02/05/2020,Ideal Unomed Care Corp.,25794950,24/04/2020,24/04/2020,PROVINCIAL GOVERNMENT OF LAGUNA,0.999804264,Medical,,,
167,PROCUREMENT OF RICE FOR FOOD ASSISTANCE,25625000,30/04/2020,30/04/2020,SALVADOR GRIPAL CORPORATION,25625000,30/04/2020,30/04/2020,MUNICIPAL GOVERNMENT OF SUAL,1,Food,,,
168,Purchase of Medical Equipment,26000000,18/06/2020,18/07/2020,"Gransol Trading Co., Inc.",25600000,17/06/2020,17/06/2020,City Government of Antipolo,0.984615385,Medical,,,
169,Purchase of Rice for Affected Households forthe Luzon Enhanced Community Quarantine (ECQ) - COVID-19 Extension,25200000,23/04/2020,24/04/2020,"Malangatong Farmers Association, Inc.",25200000,22/04/2020,23/04/2020,Local Government Unit of Iriga City,1,Food,,,
170,Premuim Rice,25000000,11/06/2020,11/06/2020,ALTURAS SUPERMARKET CORP.,25000000,11/06/2020,11/06/2020,LGU Tagbilaran City,1,Food,,,
171,Provision of Air Cargo Service for OCD COVID-19 Response,25000000,21/04/2020,31/12/2020,"PSI Air 2007, Inc.",25000000,21/04/2020,21/04/2020,Office of Civil Defense,1,Others,,,
172,Provision of Food Commodities to be Distributed to Affected Families of CoVID19 Pandemic in Various Barangays of Lipa City,24832000,13/04/2020,14/04/2020,Smartbiz Trading and General Merchandise,24832000,13/04/2020,14/04/2020,lipa city government,1,Food,,,
173,Supply and Delivery of Various Medical Supplies,24785664,02/04/2020,12/04/2020,Crossix Inc.,24785664,01/04/2020,11/04/2020,City Government of Taguig,1,Medical,,,
174,Procurement of Food Relief Packs(1st Batch),24840000,30/03/2020,14/04/2020,"Centro Supersales, Inc.",24750000,27/03/2020,30/03/2020,City Government of Malaybalay,0.996376812,Food,,,
175,Procurement of Food Relief Packs -BAY 1,24840000,22/04/2020,04/05/2020,"Centro Supersales, Inc.",24750000,21/04/2020,23/04/2020,City Government of Malaybalay,0.996376812,Food,,,
176,Procurement of Food Relief Packs (2nd batch),24840000,01/04/2020,15/04/2020,"Centro Supersales, Inc.",24750000,31/03/2020,01/04/2020,City Government of Malaybalay,0.996376812,Food,,,
177,Clean Rice,24600000,05/05/2020,11/05/2020,GREAT HARVEST COMMODITIES PH. INC.,24600000,30/04/2020,04/05/2020,Local Government Unit of Passi City,1,Food,,,
178,"LOT 1: SUPPLY AND DELIVERY OF 16,150 BAGS OF CERTIFIED INBREDPALAY SEEDS FOR THE PROVINCE OF PANGASINAN",24548000,14/05/2020,15/06/2020,PANGASINAN ORGANIC SEED GROWERS AND NURSERY MPC,24548000,12/05/2020,13/05/2020,DEPARTMENT OF AGRICULTURE REGIONAL FIELD OFFICE 1,1,Food,,,
179,PROCUREMENT OF RELIEF GOODS,24500000,13/04/2020,20/04/2020,ALNOR PRIME PROPERTIES CORPORATION,24500000,13/04/2020,13/04/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
180,Procurement of Relief Goods for the Intervention of Corona Virus 19,24500000,30/04/2020,05/05/2020,AL-NOR PRIME PROPERTIES CORPORATION,24500000,30/04/2020,03/05/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
181,Procurement of Relief Goods for the Intervention of Corona Virus 19,24500000,21/04/2020,26/04/2020,AL-RAEES ENTERPRISES,24500000,21/04/2020,21/04/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
182,Procurement of Relief Goods for the Intervention of Corona Virus 19,24500000,28/04/2020,02/04/2020,EVL DUQUE MARKETING,24500000,28/04/2020,28/04/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
183,Procurement of Relief Goods for the Intervention of Corona Virus 19,24500000,21/04/2020,26/04/2020,EVL DUQUE MARKETING,24500000,21/04/2020,21/04/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
184,Procurement of Relief Goods for the Intervention of Corona Virus 19,24500000,01/06/2020,05/06/2020,GOLDENYANA ENTERPRISES,24500000,01/06/2020,01/06/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
185,Procurement of Relief Goods for the Intervention of Corona Virus 19,24500000,21/04/2020,26/04/2020,MINE GENERAL MERCHANDISE,24500000,21/04/2020,21/04/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
186,Procurement of Relief Goods for the Intervention of Corona Virus 19,24500000,27/05/2020,31/05/2020,MATAMPAY DIAMOND AGRICULTURAL PRODUCTS TRADING,24500000,27/05/2020,29/05/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
187,Procurement of Relief Goods for the Intervention of Corona Virus 19,24500000,16/04/2020,21/04/2020,"ISULAN ECT CONSTRUCTION & GENERAL MERCHANDISE, INC.",24500000,16/04/2020,16/04/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
188,PROCUREMENT OF VENTILATOR,24300000,15/07/2020,15/09/2020,"RESPICARE ENTERPRISES, INC.",24300000,16/06/2020,23/06/2020,CENTER FOR HEALTH DEVELOPMENT - REGION VI,1,Medical,,,
189,"PURCHASE OF 11,000 SACKS OF COMMERCIAL RICE 50 KILOS PER SACK FOR ASSISTANCE/RELIEF GOODS FOR BULACAN RESIDENTS (COVID 19)",24200000,21/05/2020,28/05/2020,GOYARD TRADING,24200000,21/05/2020,21/05/2020,Provincial Government of Bulacan,1,Food,,,
190,"PROCUREMENT OF X-RAY MACHINE, MOBILE",24500000,14/07/2020,14/09/2020,"BIOSYN HEALTHCARE PRODUCTS, INC.",24010000,16/06/2020,23/06/2020,CENTER FOR HEALTH DEVELOPMENT - REGION VI,0.98,Medical,,,
191,Supply and Delivery of X - Ray Mobile Digital Image Suit with Laptop Host Personal Computer,24000000,20/05/2020,19/06/2020,SONICAD PHILS. INC.,24000000,13/05/2020,13/05/2020,"City Government of Santa Rosa, Laguna",1,Medical,,,
192,"Purchase of 22,857 sacks Sinandomeng Rice, 25 kilos each, as rice subsidy for indigent families / frontliners of COVID 19 Enhanced Community Quarantine.",23999850,25/04/2020,04/05/2020,Jorda Trading,23999850,24/04/2020,24/04/2020,Provincial Government of Batangas,1,Food,,,
193,"ITB NO. EC20-03-004COR - Lots 1,2,3 & 6 - Supply and Delivery of Relief Goods for COVID-19",24775000,03/04/2020,28/04/2020,Lantau Industrial Supply and Services Corporation,23810000,30/03/2020,31/07/2020,Philippine Amusement and Gaming Corporation,0.961049445,Food,,,
194,Supply and Delivery of E-Learning Vouchers for Training and Enrichment Courses from Taguig Online Campus (TECTOC),23750000,17/04/2020,27/04/2020,"Xplore Philippines, Inc.",23750000,15/04/2020,20/04/2020,City Government of Taguig,1,Others,,,
195,Supply and Delivery of  Medical Supplies,23519735,08/05/2020,21/05/2020,Euparex Pharmaceuticals Inc.,23519735,07/05/2020,15/05/2020,City Government of Taguig,1,Medical,,,
196,Procurement of Rice for Covid 19,33000000,20/05/2020,20/06/2020,CEBU CKS COMMODITIES CORP.,23500000,13/05/2020,13/05/2020,City of Bogo,0.712121212,Food,,,
197,Procurement of Rice Premium,41125000,04/06/2020,19/06/2020,"Ki gfields Rice Solutions, Inc",23500000,29/05/2020,04/06/2020,Provincial Government of Agusan del Sur,0.571428571,Food,,,
198,"Renovation/ Improvement of Trading Post at Lot 92-A Including Access Road, Parking Area, Second Floor, Roofing, Wall and Other Damaged/ Affected Portions of Building",23215216.96,20/07/2020,18/10/2020,BAP Construction and Development Corporation,23153238.35,23/06/2020,25/06/2020,"Food Terminal, Inc.",0.997330259,Others,,,
199,"Procurement of Supply & Delivery of 15,000 bags NSIC Approved Certified Seeds @ 40 kgs/bag",22800000,27/05/2020,26/06/2020,West Visayas Federation of Multi-Purpose and Seed Producers Cooperative,22800000,19/05/2020,20/05/2020,Department of Agriculture Western Visayas,1,Food,,,
200,"Supply and Delivery of 880,000 Canned Corned Beef for the 2nd and 3rd Wave of Augmentation for Corona Virus Disease ( COVID-19) Relief Operation",22880000,05/06/2020,23/06/2020,ESPJR Trading,22800000,28/05/2020,02/06/2020,Department of Social Welfare and Development,0.996503497,Food,,,
201,PURCHASE OF VARIOUS EQUIPMENT AND SUPPLIES FOR BULACAN PROVINCIAL MOLECULAR LABORATORY,22709349,04/06/2020,11/06/2020,STA. ANA ENTERPRISES,22709349,03/06/2020,03/06/2020,Provincial Government of Bulacan,1,Medical,,,
202,"Purchase of various medical equipments (Defibrillator, Emergency Cart, etc.) re: Management Control on Corona Virus Disease 2019 (COVID-19)",22506000,15/05/2020,24/05/2020,Rite-Tech Marketing,22506000,12/05/2020,12/05/2020,Provincial Government of Batangas,1,Medical,,,
