,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
753,SUBEEK MERCHANDIZING,Single Proprietorship,24-Nov-2017,Platinum,Active,06-Jul-2020,06-Jul-2021,2017111267081055745855
754,"WIN-A-PARTNER INTERNATIONAL BUSINESS,INC.",Corporation,02-Feb-2015,Platinum,Active,03-Jul-2020,03-Jul-2021,201502125461255204394
755,CANDON GOLD STAR TRADING,Single Proprietorship,19-Oct-2006,Platinum,Active,07-Jul-2020,07-Jul-2021,200610114511856378683
756,"ES TRANSPORT, INC.",Corporation,22-Jun-2020,Platinum,Active,15-Jul-2020,15-Jul-2021,2020062188341988226293
757,HEART AND MIND COMPUTER SERVICES AND COPY CENTER,Single Proprietorship,14-Aug-2014,Platinum,Active,03-Jul-2020,03-Jul-2021,2014081111351082341678
758,"BANNUAR SECURITY AGENCY, INC.",Corporation,01-Feb-2007,Platinum,Active,07-Jul-2020,07-Jul-2021,200702124291246454861
759,HEXAGON DISTRIBUTING CORPORATION,Corporation,23-Jun-2004,Platinum,Active,17-Jul-2020,17-Jul-2021,2004064274300565290
760,"MILLENNIUM GALLERY MOTORS, INC",Corporation,26-Apr-2017,Platinum,Active,06-Jul-2020,06-Jul-2021,2017041656671238929436
761,"SNIFFER K9 AND SECURITY SOLUTIONS, INC.",Corporation,10-Jan-2019,Platinum,Active,06-Jul-2020,06-Jul-2021,20190160689499437809
762,MEDEV MEDICAL DEVICES CORPORATION,Corporation,22-Nov-2004,Platinum,Active,10-Jul-2020,26-Jul-2021,2004115728743143280
763,JLR ELEVATORS & ESCALATORS CORP.,Corporation,14-Aug-2014,Platinum,Active,13-Jul-2020,13-Jul-2021,2014081110881672690311
764,KORBMATECH ENTERPRISES,Single Proprietorship,25-Mar-2010,Platinum,Active,06-Jul-2020,06-Jul-2021,20100333030442015969
765,HOSPITEC COMPANY,Partnership,12-Oct-2012,Platinum,Active,06-Jul-2020,06-Jul-2021,201210603691574148786
766,"SUPER TRADE MACHINERY GLOBAL, INC.",Corporation,11-Feb-2013,Platinum,Active,10-Jul-2020,10-Jul-2021,20130265868296623395
767,"ADSPARK, INC.",Corporation,19-Sep-2017,Platinum,Active,10-Jul-2020,10-Jul-2021,201709139167830699228
768,FOCUS GLOBAL INC.,Corporation,13-May-2008,Platinum,Active,07-Jul-2020,08-Aug-2021,200805204491117844280
769,"JETS TROPHY, INC.",Corporation,04-Jul-2002,Platinum,Active,10-Jul-2020,10-Jul-2021,2002078682102360743
770,GOODFELLOW PHARMA CORPORATION,Corporation,27-May-2009,Platinum,Active,21-Jul-2020,21-Jul-2021,20090526787762800657
771,HDR PLASTIC MANUFACTURING CORPORATION,Corporation,26-Jan-2015,Platinum,Active,10-Jul-2020,10-Jul-2021,2015011246001034478189
772,3RB CONSTRUCTION & SUPPLY,Single Proprietorship,15-Apr-2004,Platinum,Active,13-Jul-2020,13-Jul-2021,20040437771027833370
773,MAXBUILDER CONSTRUCTION CORP,Corporation,18-Oct-2017,Platinum,Active,29-Jul-2020,29-Jul-2021,2017101330701013498512
774,CEZKO HARDWARE AND GENERAL MERCHANDISE,Single Proprietorship,13-May-2009,Platinum,Active,06-Jul-2020,06-Jul-2021,2009051815161947236941
775,VOLTAGE COMPUTER TECHNOLOGY AND SERVICE CENTER,Single Proprietorship,27-Feb-2013,Platinum,Active,06-Jul-2020,06-Jul-2021,20130266900739050466
776,TRIPLE Z MC CONSTRUCTION,Single Proprietorship,08-Jul-2019,Platinum,Active,28-Jul-2020,28-Jul-2021,20190734129350954235
777,ZAVIA TRADING,Single Proprietorship,26-Feb-2016,Platinum,Active,06-Jul-2020,09-Aug-2021,201602163308539552359
778,OTILLA MARINE PRODUCTS,Single Proprietorship,10-May-2013,Platinum,Active,06-Jul-2020,18-Jul-2021,201305715121485767995
779,168 CONSTRUCTION & SUPPLY,Single Proprietorship,19-Oct-2006,Platinum,Active,06-Jul-2020,06-Jul-2021,200610114471494881075
780,AIRPARTS ENTERPRISES,Single Proprietorship,05-Jun-2018,Platinum,Active,06-Jul-2020,06-Jul-2021,20180696298873124449
781,POSPOS FARM AGRICULTURAL PRODUCTS TRADING,Single Proprietorship,30-Jul-2019,Platinum,Active,06-Jul-2020,06-Jul-2021,201907306321448914623
782,"PURITY PAPER, INC.",Corporation,13-Feb-2008,Platinum,Active,06-Jul-2020,06-Jul-2021,2008021884095680759
783,NEOTECH ASIA DISTRIBUTION INC.,Corporation,25-Feb-2011,Platinum,Active,06-Jul-2020,10-Jul-2021,201102507381296981560
784,JWPL ENTERPRISE,Single Proprietorship,26-May-2014,Platinum,Active,06-Jul-2020,06-Jul-2021,201405103060174263917
785,F.C.OLIVER HARDWARE,Single Proprietorship,08-Dec-2017,Platinum,Active,06-Jul-2020,06-Jul-2021,2017121248241141437109
786,RICHLI CORP.,Corporation,21-Sep-2018,Platinum,Active,13-Jul-2020,13-Jul-2021,20180977349257727176
787,BONTOC AUTO PARTS & GEN. MERCHANDISE,Single Proprietorship,15-Dec-2017,Platinum,Active,06-Jul-2020,06-Jul-2021,2017121239531961172540
788,"JEPHTHAH SECURITY AGENCY, INC.",Corporation,13-Nov-2015,Platinum,Active,06-Jul-2020,08-Aug-2021,2015111540782100332199
789,MARGAUX-KEN CATERING SERVICES,Single Proprietorship,15-Mar-2018,Platinum,Active,10-Jul-2020,10-Jul-2021,2018031089251763616517
790,LIBERTAD CONSUMERS CORPORATION,Corporation,24-Mar-2011,Platinum,Active,23-Jul-2020,23-Jul-2021,201103398111112798692
791,XYZ GENERAL MERCHANDISE,Single Proprietorship,04-Jun-2016,Platinum,Active,06-Jul-2020,06-Jul-2021,2016061728061105165403
792,"TCL MERCHANDISE BROKERAGE, INC.",Corporation,24-Mar-2011,Platinum,Active,23-Jul-2020,23-Jul-2021,20110339851534847334
793,HINO MOTORS PHILIPPINES CORPORATION (HMP),Corporation,05-Apr-2004,Platinum,Active,06-Jul-2020,06-Jul-2021,20040434286497638840
794,HAMAKITA HEAVY EQUIPMENT PARTS SUPPLY,Single Proprietorship,09-Feb-2015,Platinum,Active,22-Jul-2020,03-Aug-2021,2015021262021715165118
795,AGAFER CREATIVE RESEARCH AND DEVELOPMENT SERVICES,Single Proprietorship,26-Sep-2019,Platinum,Active,06-Jul-2020,06-Jul-2021,20190918962243603206
796,PLASTIMER INDUSTRIAL CORPORATION,Corporation,16-May-2008,Platinum,Active,07-Jul-2020,07-Jul-2021,20080520528148525930
797,LION COMMERCIAL CORPORATION,Corporation,23-Mar-2011,Platinum,Active,24-Jul-2020,24-Jul-2021,20110339782124555399
798,PETRON BONTOC SERVICE CENTER,Single Proprietorship,21-Jul-2014,Platinum,Active,06-Jul-2020,06-Jul-2021,2014071084651214073989
799,ISRAEL SHIPYARDS LTD,Foreign Company Organization,05-Mar-2014,Platinum,Active,06-Jul-2020,19-Jul-2021,20140395711802846541
800,RCGEN ENTERPRISE,Single Proprietorship,25-Aug-2005,Platinum,Active,06-Jul-2020,06-Jul-2021,20050881341841407368
801,VISTA OUTDOOR SALES LLC,Foreign Company Organization,23-Feb-2015,Platinum,Active,10-Jul-2020,10-Jul-2021,201502127644903829780
802,JILL CONSTRUCTION AND TRADING,Single Proprietorship,10-Sep-2015,Platinum,Active,10-Jul-2020,10-Jul-2021,201509147922947113464
803,HOMETOWN PRINTING PRESS,Single Proprietorship,09-Mar-2011,Platinum,Active,06-Jul-2020,06-Jul-2021,201103392821803096130
804,CDV PETRON STATION,Single Proprietorship,09-Sep-2014,Platinum,Active,06-Jul-2020,06-Jul-2021,2014091135461980757692
805,MS. LORIZA JACELA GENERAL MERCHANDISE,Single Proprietorship,08-Mar-2018,Platinum,Active,06-Jul-2020,06-Jul-2021,201803110613545470251
806,ANB TRADING AND GENERAL CONTRACTOR,Single Proprietorship,06-Feb-2014,Platinum,Active,10-Jul-2020,10-Jul-2021,201402930331409443526
807,JASPHER MARKETING AND CONSTRUCTION,Single Proprietorship,17-Oct-2007,Platinum,Active,10-Jul-2020,31-Jul-2021,20071017068585384386
808,EBB PALAY TRADING AND RICE MILL,Single Proprietorship,27-May-2009,Platinum,Active,07-Jul-2020,07-Jul-2021,20090526789683242633
809,"TREESIDE FOODS, INC.",Corporation,17-Dec-2013,Platinum,Active,07-Jul-2020,07-Jul-2021,201312897191961332547
810,WELD-SHOPPE ENTERPRISES,Single Proprietorship,13-May-2014,Platinum,Active,06-Jul-2020,06-Jul-2021,201405101725535591903
811,JO HEBREWS CONSTRUCTION SERVICES,Single Proprietorship,24-Nov-2017,Platinum,Active,12-Aug-2020,12-Aug-2021,201711126828749424341
812,"FARAGON SECURITY AGENCY,INC.",Corporation,24-Oct-2017,Platinum,Active,06-Jul-2020,06-Jul-2021,2017101321932014488979
813,"MGM MOTORS MINDANAO, INC.",Corporation,27-Sep-2012,Platinum,Active,07-Jul-2020,07-Jul-2021,201209596121757203449
814,TECHNO CORE TRADING,Single Proprietorship,15-Nov-2012,Platinum,Active,06-Jul-2020,06-Jul-2021,20121162007201776366
815,ALIJAH'S CATERING SERVICE,Single Proprietorship,04-Jun-2014,Platinum,Active,06-Jul-2020,06-Jul-2021,2014061038551473897553
816,TAN KEE & SONS TRADING CORPORATION,Corporation,05-Jun-2007,Platinum,Active,06-Jul-2020,06-Jul-2021,200706140671317812187
817,PALMER-ASIA INC.,Corporation,25-May-2001,Platinum,Active,14-Jul-2020,22-Jul-2021,200105531823156198
818,TOTAL INNOVATIVE SECURITY SOLUTIONS INC.,Corporation,14-May-2002,Platinum,Active,06-Jul-2020,06-Jul-2021,2002051660181127185255
819,"SYNERGY SOURCING AND DEVELOPMENT GROUP, INC.",Corporation,09-Jun-2020,Platinum,Active,13-Jul-2020,13-Jul-2021,2020062180311433056987
820,MJAPS CATERING SERVICES,Single Proprietorship,19-Jan-2009,Platinum,Active,06-Jul-2020,06-Jul-2021,20090124158285547666
821,AZERON TRADING AND BUILDERS,Single Proprietorship,25-Apr-2014,Platinum,Active,07-Jul-2020,07-Jul-2021,2014041004661438215356
822,PRINCE RADIO ADVERTISING,Single Proprietorship,14-Apr-2018,Platinum,Active,07-Jul-2020,07-Jul-2021,201804104587484406108
823,"AGGREKO ENERGY RENTAL SOLUTIONS, INC",Corporation,18-Nov-2016,Platinum,Active,10-Jul-2020,30-Jul-2021,201611193184591092777
824,MANDALAGAN VETERINARY HOSPITAL AND MARKETING,Single Proprietorship,28-Mar-2008,Platinum,Active,07-Jul-2020,07-Jul-2021,200803196951430821654
825,IWA BESU CORPORATION,Corporation,08-Aug-2018,Platinum,Active,06-Jul-2020,08-Aug-2021,201808851001846523128
826,INFO ALCHEMY CORPORATION,Corporation,04-Dec-2002,Platinum,Active,14-Jul-2020,22-Jul-2021,2002121142591811233957
827,HARLANCE BUILDERS,Single Proprietorship,08-Feb-2018,Platinum,Active,27-Jul-2020,27-Jul-2021,2018021158761768741593
828,CROSSIX INC.,Corporation,12-Jul-2016,Platinum,Active,06-Jul-2020,08-Jul-2021,2016071770601783731565
829,CALSIAN TRADING,Single Proprietorship,07-Nov-2008,Platinum,Active,07-Jul-2020,20-Jul-2021,20081123346936431264
830,MMEEN CONSTRUCTION,Single Proprietorship,02-Sep-2015,Platinum,Active,27-Jul-2020,27-Jul-2021,201509146717900286809
831,ADDISON PENSION HOUSE,Single Proprietorship,27-Nov-2014,Platinum,Active,07-Aug-2020,07-Aug-2021,2014111210441337014086
832,MOOCSX PH INCORPORATED,Corporation,28-Nov-2018,Platinum,Active,06-Jul-2020,06-Jul-2021,201811651901523515924
833,EMJAT GENERAL MERCHANDISE,Single Proprietorship,15-Sep-2017,Platinum,Active,13-Jul-2020,29-Jul-2021,2017091397282118952951
834,VIGAN INK CARTRIDGES AND SUPPLIES,Single Proprietorship,08-Jul-2013,Platinum,Active,06-Jul-2020,06-Jul-2021,201307755211064267354
835,A.M. MAURICIO CONSTRUCTION & BUILDERS INC.,Corporation,22-Feb-2010,Platinum,Active,06-Jul-2020,06-Jul-2021,201002322601439264411
836,AKJ HARDWARE AND CONSTRUCTION,Single Proprietorship,13-Jul-2011,Platinum,Active,06-Jul-2020,06-Jul-2021,20110742438726422342
837,AGRIGROWTH INTERNATIONAL CORPORATION,Corporation,06-Sep-2010,Platinum,Active,06-Jul-2020,06-Jul-2021,20100935707825701405
838,HEXACOM ENTERPRISES,Single Proprietorship,18-Mar-2009,Platinum,Active,06-Jul-2020,06-Jul-2021,200903255161517089671
839,INTERNATIONAL PIPE INDUSTRIES CORPORATION,Corporation,28-Feb-2005,Platinum,Active,10-Jul-2020,10-Jul-2021,20050266731102561658
840,RB AGRICULTURAL PRODUCTS TRADING,Single Proprietorship,28-Nov-2019,Platinum,Active,10-Jul-2020,10-Jul-2021,20191174381343953097
841,SLURRY ASPHALT TRADING,Corporation,25-Sep-2013,Platinum,Active,06-Jul-2020,06-Jul-2021,201309831621185009165
842,ONE MYRNA CONSTRUCTION & SUPPLY,Single Proprietorship,19-Apr-2018,Platinum,Active,07-Aug-2020,07-Aug-2021,201804103778473945035
843,LRB3 PRIME CONSTRUCTION AND GENERAL MERCHANDISE INC.,Corporation,21-Apr-2017,Platinum,Active,07-Jul-2020,07-Jul-2021,2017041664391952877560
844,MICHAEL AGRI-AQUA SUPPLIES AND GENERAL MERCHANDISE,Single Proprietorship,17-Dec-2016,Platinum,Active,14-Jul-2020,14-Jul-2021,2016121888552116461938
845,FOURG,Single Proprietorship,15-Jan-2019,Platinum,Active,06-Jul-2020,06-Jul-2021,20190160066652376948
846,L.P.MANANSALA CONSTRUCTION AND TRADING,Single Proprietorship,08-May-2012,Platinum,Active,07-Jul-2020,07-Jul-2021,20120552613605836080
847,ROAM-MEDICA ENTERPRISES,Single Proprietorship,06-Feb-2013,Platinum,Active,07-Jul-2020,07-Jul-2021,2013026554723514773
848,CMB DELOS REYES ENTERPRISES CORPORATION,Corporation,03-Sep-2008,Platinum,Active,07-Jul-2020,07-Jul-2021,20080922240485185035
849,RENEL'S FRUIT NURSERY,Single Proprietorship,04-Dec-2007,Platinum,Active,06-Jul-2020,06-Jul-2021,200712493991566663894
850,CASCO GENERAL MERCHANDISE,Single Proprietorship,07-May-2019,Platinum,Active,07-Jul-2020,07-Jul-2021,20190543609186761516
851,JSJ GOAT FARM,Single Proprietorship,23-Jul-2009,Platinum,Active,06-Jul-2020,09-Jul-2021,200907278081475478892
852,R.M. AGPAOA BUILDERS & SUPPLY,Single Proprietorship,14-Nov-2014,Platinum,Active,03-Aug-2020,03-Aug-2021,201411119886664184560
853,"TRIUMPH BUILDERS & STEEL, INC.",Corporation,11-Feb-2005,Platinum,Active,13-Jul-2020,13-Jul-2021,20050264731940294138
854,JADOMINIA CONSTRUCTION & SUPPLIES,Single Proprietorship,09-Nov-2014,Platinum,Active,07-Aug-2020,07-Aug-2021,2014111193731744461778
855,PRINCE MICHAELA ENTERPRISES,Single Proprietorship,03-Feb-2017,Platinum,Active,06-Jul-2020,06-Jul-2021,2017021820221525703934
856,THY GRACE MEDICAL SUPPLY AND SERVICES,Single Proprietorship,23-Apr-2019,Platinum,Active,10-Jul-2020,10-Jul-2021,201904452681138469931
857,AHOLDTECHPH CORPORATION,Corporation,16-Jan-2019,Platinum,Active,06-Jul-2020,15-Jul-2021,201901598151222091818
858,INFINITY 88 OFFICE SUPPLIES AND EQUIPMENT,Single Proprietorship,27-Aug-2019,Platinum,Active,06-Jul-2020,06-Jul-2021,201908254911008884861
859,J.D. LEGASPI CONSTRUCTION,Single Proprietorship,07-Jan-2005,Platinum,Active,14-Jul-2020,15-Jul-2021,2005015980118240753
860,AGRICONS IMPEX CO.,Partnership,03-Mar-2016,Platinum,Active,10-Jul-2020,10-Jul-2021,2016031640961390039723
861,MAMMOTH CONSTRUCTION AND DEVELOPMENT CORPORATION,Corporation,20-Oct-2018,Platinum,Active,13-Jul-2020,02-Aug-2021,201810721052031202259
862,VIN RICE MILL,Single Proprietorship,11-Aug-2015,Platinum,Active,03-Jul-2020,03-Jul-2021,2015081448101885607509
863,VERDANT MT. HARDWARE AND GENERAL MERCHANDISE,Single Proprietorship,11-Feb-2011,Platinum,Active,06-Jul-2020,06-Jul-2021,201102385471713242963
864,OSTREA MINERAL LABORATORIES INC,Corporation,08-Sep-2009,Platinum,Active,22-Jul-2020,22-Jul-2021,20090930265210430256
865,"SYSTEMS AND SOFTWARE CONSULTING GROUP, INC.",Corporation,31-Jan-2003,Platinum,Active,03-Jul-2020,15-Jul-2021,2003011399909687438
866,NVH ENGINEERING & SERVICES,Single Proprietorship,20-Sep-2017,Platinum,Active,12-Aug-2020,12-Aug-2021,2017091381491751892595
867,H AND R HARDWARE,Single Proprietorship,03-Feb-2017,Platinum,Active,10-Jul-2020,10-Jul-2021,2017021822211714085770
868,STEELHOUSE TRADING AND CONSTRUCTION INC.,Corporation,20-Jul-2017,Platinum,Active,07-Jul-2020,31-Jul-2021,2017071503341271358996
869,RBNL TRADING,Single Proprietorship,06-May-2010,Platinum,Active,06-Jul-2020,06-Jul-2021,201005335301251743834
870,ISALAMA INDUSTRIES INC.,Corporation,12-Dec-2008,Platinum,Active,10-Jul-2020,18-Jul-2021,20081223863515776204
871,OXORD COMPUTER SOLUTIONS & REPAIR CENTER,Single Proprietorship,08-Mar-2013,Platinum,Active,07-Jul-2020,19-Jul-2021,201303678461813824159
872,DODHIA BUILDERS INC,Corporation,18-Feb-2016,Platinum,Active,10-Jul-2020,10-Jul-2021,2016021624841687878416
873,ALILEO ENTERPRISES AND SUPPLY,Single Proprietorship,20-Aug-2014,Platinum,Active,06-Jul-2020,29-Jul-2021,2014081117731714265000
874,NVR CONSTRUCTION,Single Proprietorship,14-Jun-2016,Platinum,Active,10-Jul-2020,19-Jul-2021,2016061740171902673616
875,KING GENERAL MERCHANDISING,Single Proprietorship,13-Apr-2011,Platinum,Active,06-Jul-2020,28-Aug-2021,20110440411684051713
876,AU-LAND ENTERPRISES,Single Proprietorship,01-Apr-2013,Platinum,Active,03-Jul-2020,19-Jul-2021,201304691272132004378
877,EBR MARKETING CORPORATION,Corporation,02-Dec-2003,Platinum,Active,13-Jul-2020,30-Aug-2021,200312201091877143524
878,GERONIMO PETRON SERVICENTER,Single Proprietorship,28-Nov-2008,Platinum,Active,13-Jul-2020,29-Aug-2021,20081123670642304703
879,RONNYL CONSTRUCTION,Single Proprietorship,12-Sep-2014,Platinum,Active,07-Jul-2020,07-Jul-2021,2014091139321282051586
