Name Of Awarded Company,Amount Awarded (in hundred thousands),Average Date Difference
DILLA'S FOODHAUZ AND CATERING SERVICES,0.21,8.0
Solar Ice Enterprises,0.21,6.0
Blancodavid Furniture Manufacturing,0.21,26.0
Riverside Hospital,0.21,9.0
Long Last Trading,0.2118068,1.0
"Pure Gold Price Club, Inc.",0.21224,6.0
Jecsons Medical Center,0.21675,9.0
MERLITA O. BERNARDO,0.21714,36.0
CARLITO J. PORBIDO,0.21714,33.0
KAAGAPAY SA PAG-UNLAD CREDIT COOPERATIVE,0.2172,32.0
ANGELITUD TRADING,0.21775,7.0
Kimberland Construction and Development,0.21779,7.0
"AVENUE COMMERCIAL, INC",0.2178,15.0
MIKKO'S AGRICULTURAL AND POULTRY SUPPLY,0.218,11.0
LMT Prints and Copier,0.21875,23.0
EJB TRAPAL CENTER,0.22,7.0
UMALI DRUGSTORE,0.2201,6.0
Shandau Enterprises,0.2201742,12.0
"Total Wellness Pharma, Inc.",0.22135,5.0
Artes De San Vicente Producers Cooperative,0.222,31.0
Rodrigo Gawayen,0.22207,7.0
Surebright Manufacturing Industries Inc.,0.2221,15.0
Lily Cajucom Sari-Sari Store,0.22224,4.0
RAMS Electrical Parts and Supplies,0.224,7.0
NIMPHARMA DRUG,0.225,15.0
West Metro Medical Center,0.225,9.0
JalaJala Farmers Marketing Cooperative,0.225,25.0
MATEO PHOTOCOPY CENTER,0.225,5.0
FLYINGDONV SPORTS CONSULTANCY,0.22539,14.0
JCA Medical Supply,0.2256,8.0
DIAMED ENTERPRISES,0.225925,27.0
NEW ARISTOCRAT ENTERPRISES INC.,0.227,6.0
Norberto T. Tuguero,0.2275,17.0
BOTICA ARMITZ,0.23,13.0
DBM Procurement Service - Puerto Princesa,0.2309245,1.0
Luna's Store,0.2315,58.0
Bred Gaz Hauz,0.2334,11.333333333333334
ARB ENTERPRISES,0.23454,11.0
Auntie Vi Enterprises,0.2351,10.0
Harkee Gabaldon,0.23871599999999998,7.0
YSL ENTERPRISES,0.2391,64.0
JKR Enterprises,0.24,226.0
DREI ENTERPISES,0.24,15.0
East-West Seed Company Inc.,0.2405,15.0
Pharma Medika Pharmaceuticals,0.2409,7.0
SAPPHIRE PHARMACEUTICAL CORP.,0.24126,6.0
Mabes Savory Place,0.2415,1.0
VINROSE STORE,0.24225,24.5
COOLMORE GENERAL MERCHANDISE,0.2425,19.5
Mr. Darwin Pono,0.243,5.0
TACLOBAN TAP COMMERCIAL,0.24458,6.5
Lou-Peng Home and Office Furniture Trading,0.246,7.0
MFR marketing/Ritzchild Marketing/Pidios Metal Works,0.247,14.0
"Ban Bee Commercial Co., Inc.",0.2483,6.666666666666667
Pathfinder Pharmacy and Distributor,0.2483,4.0
Ana Marie Pangilinan,0.2488,7.0
Edralin Fabros,0.24968,7.0
MAR GENERAL MERCHANDISE,0.2499516,7.0
St. Januarius Enterprises,0.25,6.0
Michelle R. Cunanan,0.25,7.0
"BLUE SKY TRADING CO., INC.",0.25,14.0
TPRO General Merchandise,0.25,5.0
Juanito D. Lip-atan,0.25,7.0
GUINABAN MULTI-PURPOSE COOPERATIVE,0.25,11.0
STERILAB CO.,0.25,8.0
EMRA MEDICAL SUIT AND SUPPLIES,0.25,3.0
Lone's Store,0.25,2.0
Puregold Price Club inc.,0.2505,12.0
LIGHTHOUSE COOPERATIVE,0.2508,30.0
HAWK RESCUE EQUIPMENT AND GENERAL MERCHANDISE,0.251,2.5
HAWK RESCUE EQUIPMENT & GENERAL MERCHANDISE,0.251,1.0
Rescue Life Industrial sales Co.,0.25116,13.0
KABALIKAT MULTI-PURPOSE COOPERATIVE,0.252,22.0
Hanagail International Corp.,0.252,365.0
PCHQ Trading,0.255,10.0
"Euro-Med Laboratories Phi., Inc.",0.255,365.0
Alanaed Grpaix Signs & Souvenirs,0.255,2.0
ANNA LYN M. PLAMENCO,0.255875,7.0
"Liberty & Son's La Union, Inc.",0.2559,14.0
Washington Enterprises,0.256,6.0
MR. CALIXTO MEMORIA,0.258,56.0
Tanay Water District,0.25875,10.0
HARNWELL CHEMICALS CORPORATION,0.2598198,90.0
NAGKAISA HOG RAISING SLP,0.25986,7.0
Francis de Leon Bondoc,0.2605,6.0
VGL Rice Mill,0.26316,4.0
Consumer's Drug,0.2639,7.0
Bokyot Designs and Printings,0.266,3.0
BOKYOT DESIGNS AND PRINTINGS,0.266,3.0
Kareila Management Corporation,0.2667,21.0
Alexan Commercial,0.26675,42.0
VS TAY INCORPORATED,0.2671,34.0
Super Metro Carcar,0.268,3.0
ROGER QUANICO,0.268,31.0
"RG Inernet Cafe, Computer's & Printing Services",0.2688,10.0
Yumi General Merchandise,0.2689,11.0
"R-Merk Drug, Inc.",0.27,61.0
"LIBERTY & SON'S LA UNION, INC.",0.27,15.0
Panalay Tailoring,0.27,31.0
Querido's Plasticwares & Gen. Mdse.,0.272,4.0
IGENERICS PHARMACY,0.273,6.0
We Care - Balanga Branch III,0.2735,4.5
"Wilcon Depot, Inc",0.2744,20.0
EDRALIN D. FABROS,0.27456,6.0
OGF ENTERPRISES & GENERAL MERCHANDISE,0.27475,2.0
CARJAY GENERAL MERCHANDISE,0.275,3.0
PROCUREMENT OF CANNED GOODS,0.275,10.0
NKTI Free Shuttle Transpo,0.27586,6.0
Berovan Marketing INC,0.276,61.0
Garie & Josie Meat Shop,0.2763,15.0
MARIGOLD STORE,0.27634,7.0
FLORDELIZ PRINT & SERVICES,0.276707,4.0
MANWORXXX MANPOWER & ENGINEERING SERVICES,0.27738,1.0
ASIAFREIGHT LOGISTICS INC.,0.2774,7.0
ST. JOSEPH CONSTRUCTION & TRADING,0.279,19.0
ROMAN EMPIRE PANGLAO RESORT INC.,0.28,14.0
TRIKASH ENTERPRISES,0.28,5.0
EDRITO PITONG,0.28,10.0
Fastkil Pest Control Services,0.28,1.0
Choz-A-Medz Corp,0.2805,9.0
CHPZ-A-MEDZ CORP,0.2822,17.0
Bitstop Bicol Sales Center,0.2835,30.0
Microworks Computer Store,0.285,15.0
CJS TOOLS ENTERPRISES,0.285,9.0
Lucban Dairy Raisers' Association,0.286,10.0
NP INTINO RICE RETAILING,0.286,3.0
M.A Tamayo Enterprises,0.2875,15.0
Mariveles Trading and Hardware Corporation,0.28906,13.0
GEMMA A. QUIAOAN,0.2899,1.0
MAXIMA L. BATO,0.2899,1.0
VIVIANA M. LOMEREZ,0.2899,1.0
JANE P. TIAGO,0.2899,1.0
MARTINA M. DAKIAPO,0.2899,1.0
SANDRA J. SALAY,0.2899,1.0
JULIA C. EPI,0.2899,1.0
ANALYN W. BONGSIW,0.2899,1.0
cabern store,0.29,3.0
ROBIN ROSE TRADING,0.2902,16.75
LETICIA W. PILO,0.2912,1.0
FAUSTA P. LUACAN,0.2912,1.0
ABDOLIA T. VELASCO,0.2912,1.0
FABIOLA M. LUCAS,0.2912,1.0
JULIA L. TIAGO,0.2912,1.0
LYDIA D. MORIDO,0.2912,1.0
AUGUSTA N. AMBI,0.2912,1.0
IMELDA A. CAMPIC,0.2912,1.0
OLIVIA L. FERMIN,0.2912,1.0
MARKY'S STORE,0.29162,1.0
KRIZIA21 INTERNET CAFE @ GEN. MDSE/RAYOS TRADING,0.292,5.0
Lifeline Diagnostic Supplies,0.292,365.0
GACUTAN SHELL STATION,0.29256,15.0
Emcor Inc.,0.29317,7.0
Joby's Party Needs Haus,0.2932,7.0
Renato Galuga,0.29394,7.0
Galetote T-Shirt Printing Shoppe,0.294,6.0
Fornix Corporation,0.2945,6.0
ROSE PHARMACY INC.,0.29475,2.0
LHIL ZEE REFRIGERATION AND AIRCONDITIONING,0.295,15.0
AJA OFFICE AND SCHOOL SUPPLIES,0.2965,2.0
RYAN CACHO RESTAURANT,0.297,20.0
MILANDEZ HOUSEWARE,0.29798,15.0
Javs Aluminum Glass,0.3,4.0
RNM INTEGRATED FARM,0.3,4.0
KING'S SAFETYNET INC.,0.3,10.0
N.P.C. OCAMPO GENERAL MERCHANDISE,0.3,3.0
Green Energy Trading,0.3,7.0
SAVELINK PHARMA TRADING CO.,0.3,20.0
PUREGOLD PAG-ASA,0.3,1.0
CALINOG BUS LINE,0.3,14.0
Lhester-Wen General Merchandise,0.3,7.0
Agricultural Cooperative of Tigaon,0.3,11.0
BRP JR. Trading,0.3,3.0
N.P.C OCAMPO GENERAL MERCHANDISE,0.3,6.0
Diamond Interior Industries Corporation,0.3013886,30.0
BINANGONAN RICE CENTER,0.301675,11.0
AUNTIE VI ENTERPRISES,0.302,7.0
Dolfo & Elvie Store,0.3026736,2.0
Alicia Refe Catering Service,0.303,11.0
Migies Contruction & General Merchandise,0.30303,15.0
C & G Refrigeration & Airconditioning Service Center,0.305,30.0
Iloilo Yca Dale Trading,0.30605,4.5
LVM FOOD SUPPLY,0.308,46.0
ARDENT MEDICARE ENTERPRISES INC.,0.308,10.0
Sibalom Glass Aluminum Construction Supply and Services,0.31,3.0
KST COMMERCIAL,0.31146,30.333333333333332
Asia Cycle Center,0.312,11.0
Tacloban Fortune Drug House,0.3122,14.0
NSTAR ENTERPRISES,0.31358,3.0
LOLITA UBUAN,0.314,10.0
Cagayan Balita Corporation,0.3145,15.0
Villamar General Merchandise,0.315,1.0
MLG Greenhouse Pharmaceutical Trading,0.3158,14.0
Costsaver's Supermarket Inc.,0.31917619999999997,2.0
LEONARDO WANAGEN,0.32,10.0
RXCARMED ENTERPRISES,0.32,80.0
DEN'S VAN TRANSPORT,0.32,3.0
"Phil. Pharmawealth, Inc",0.32,15.0
MAGSAI OFFICE SUPPLIES,0.3209,16.5
"Multi-Teknika, DMDS",0.3214,5.0
LA NUEVA DRUGSTORE CHAINS INC./LA NUEVA PHARMACY,0.32275,76.0
ESPERANZA MANGGITAHAN ARB COOPERATIVE (ESMARBEMCO),0.324,7.0
ATR TRADING SYSTEM,0.324,13.0
MANGGITAHAN ARB COOPERATIVE (ESMARBEMCO),0.324,5.0
Watchlife Workers Multi Purpose Cooperative,0.324,14.5
"SM Mart, Inc.",0.3261775,24.0
Clarenzon Marketing,0.32716,14.0
DBM Procurement Service - Bacolod City,0.32725339999999997,3.0
Tod's Lomi House and Resto,0.33,9.0
PRIME INNOV8 MANUFACTURING CO.,0.33,30.0
LBH TUNE SHOP & CAR ACCESSORIES,0.33145,7.0
EJ Jhune Gen. Merchandise,0.332,10.0
Metro Manila Shopping Mecca Corporation,0.333,33.0
Dipolog Diamond Hardware & Electrical Supplies,0.333,14.5
Gaddeah's Egg Industry,0.335,4.0
"Farron Cafe Ventures, Inc",0.336,29.0
JONECO TECH MARKETING CORPORATION,0.336,13.0
G. INGLES GEN. MDSE,0.33648,2.0
Legazpi Two-in-one Marketing,0.33661610000000003,1.0
DBM Procurement Service Region V,0.33696,4.5
CENTRAMED PHILS CO.,0.338,15.0
Freelance Network Marketing Business and General Services,0.34,14.0
Tanchuling General Hospital Inc.,0.34,9.0
FREELANCE NETWORK MKTG BUSINESS AND GEN. SVCS,0.34,7.0
"Golden Dell Generic Distributor, Inc.",0.34105,1.0
Golden Three 168 Trading Incorporated,0.34216,9.5
FISHAVENUE ENTERPRISES,0.3443,4.0
"IDS Medical Systems Philippines, Inc",0.345,1.0
Newton Integrated Solutions,0.3463,7.0
Vallery Enterprises,0.34745,5.0
M.A.TAMAYO ENTERPRISES,0.348,1.0
Robinson'a Handyman Inc.,0.3485,18.0
"4J""s Tech Equipment Gadget and Gen. Mdse.",0.34998,7.0
Zomedel Gas Center & General Mdse.,0.35,3.0
Che Enterprises,0.35,11.0
HealthSolutions Enterprise,0.35,92.0
Tenecio Enterprise,0.35,24.0
"MR. VIRGILIO AUSTRIA, JR.",0.3504,40.0
MR. JEZL CRIS B. TACUYAN/MR. JAYMAR EMBATE,0.3504,39.0
MARVIE L. BRIONES TRADING,0.3504,11.0
G. INGLES GENERAL MERCHANDISE,0.3505,4.0
Edna's Footwear,0.351,7.0
Kalinisan Chemicals Corporation,0.3527,7.0
Ecoshift Corporation,0.3534,33.0
D&S General Merchandise,0.3534,10.0
CreativeMist.Net Inc.,0.35467,9.0
MAMA LALI'S ANGELS EATERY & CATERING SERVICES,0.355,15.0
NANCY AND MELO GENERAL MERCHANDISE,0.36,2.0
E.R.L. Pharmaceutical,0.36,2.0
"Cred General Trading,Primesolv Technologies Co",0.3615,16.0
"TS La Trinidad, Benguet",0.3622,1.0
Bing Comprada & General Merchandise,0.364505,6.0
ROANN CONSTRUCTION & SUPPLIES,0.3685,1.0
KRUKSPEC TACTICAL GEAR MANUFACTURER,0.369,4.0
Eemrak's Dry Goods and School Supplies,0.37,4.0
HASA GASOLINE STATION,0.37125,61.0
PANDELTON BAKERIES INC.,0.37125,26.5
AFP COMMISSARY AND EXCHANGE SERVICE,0.3715,30.0
All Home Corporation,0.3745425,11.0
MIGGY ENTERPRISES,0.375,45.0
"NEW UNITED LAMINATED FLOORING SUPPLY, INC.,",0.375,5.0
MEDICAL CENTER TRADING CORPORATION,0.375,14.0
BS-PCWORKS ADVERTISING,0.37566,7.0
CCWP Enterprises,0.37673,6.0
TRIANGELEN MARKETING CORPORATION,0.3767488,19.0
PUREGOLD,0.378,1.0
"Hercules Foam Mindanao, Inc.",0.3781,14.0
HRI Marketing,0.3795,15.0
AJ'S GENERAL MERCHANDISE,0.37984,7.0
1st Mega Saver,0.37998,14.0
BAJ Pharma,0.38,9.0
Super Aire Refrigeration & Contractors Inc.,0.38,14.0
JASRICH MEDICAL SUPPLY & HOSPITAL EQUIPMENT,0.38,195.0
NEXCO Medical Enterprises,0.38044,122.0
Brickstone Supermart,0.3816,3.0
767 General Merchandise Corporation,0.3816,1.0
RLSG PHARMA AND MEDICAL SUPPLIES DISTRIBUTION,0.3825,10.0
ADM Pharma Medical & Hospital Supplies International,0.3825,6.0
Aliyacyac Tailoring,0.3827625,4.0
JJ AND B GENERAL MERCHANDISE,0.3829,3.5
K Joy Food Services,0.385,1.0
"I.T EASY SOFTWARE SOLUTIONS, INC",0.385,62.0
DOUBLE J GENERAL MERCHANDISE,0.387,2.0
POPSI'S HOUSE OF GOODIES,0.3875,7.0
Maquiling Builders Depot,0.38855949999999995,15.0
Autotech Parts Center,0.3886,8.0
"Metro Retail Stores Group, Inc",0.389,9.5
JHUN AND MHEL BIGASAN,0.39,4.0
MMD Glassware & General Merchandise,0.39065,7.0
RL Vercons Merchants Corporation,0.391925,3.0
"Feline's Gift Shop, Inc.",0.393,90.0
Teddy Herrera,0.39585,10.0
Gensson Trade Corporation,0.396,2.0
Fres-mon Medical and Industrial Services,0.396,365.0
ACA LAB TRADING,0.3969,3.0
WARLYN CATERING,0.3975,7.0
"DECOARTS MARKETING, INC.",0.3993225,22.0
M-Plaza catering Services,0.4,13.0
Nancy & Melo General Merchandise,0.4,3.0
Zenaida B. Ordonio,0.4,7.0
Anito B. Tribiana,0.4,7.0
"Hi-Precision Diagnostic Center, Inc.",0.4,12.0
JB Printing & Graphic Design,0.4013788,9.0
Almost Enterprises,0.4015,3.0
JOVENNIA STORE/SONIA A. REVILLA,0.4016,15.0
"KLG INTERNATIONAL, INC.",0.402,3.0
Dau Agri Industrial Corporation,0.405,4.0
MEDWATCH PHARMACY,0.406,3.0
WALTERMART SUPERMARKET INC,0.413685,1.0
A & M Enterprises,0.41834,7.0
D. Reyes Pharmacy & Bakeshop,0.41912,7.0
THE STORY RESORT INC.,0.42,13.0
Reinlab Corporation,0.42,93.0
PEDRO OSDAVA B. BESTED,0.42,3.0
PANGLAO BLUE WATER BEACH RESORT INC.,0.42,14.0
"Tri-Den, Inc.",0.42,4.0
Paint 'N Rock General Merchandise,0.42124,1.5
Puregold Duty Free Inc.,0.42174910000000004,30.0
MRV Castro General Merchandise,0.424775,12.0
HAWK RESCUE EQUIPMENT & MERCHANDISE,0.425,11.0
Rjay's Lumber & Construction Supply,0.425655,10.5
IORI PHARMACEUTICALS,0.426475,1.0
TATA LUMBER,0.42741,17.0
Erraville Computer Center,0.4275,5.0
H28 BUILDERS AND CONSTRUCTION SUPPLY,0.428965,38.0
Onica Pharma Trading & Gen. Mdse.,0.4296,7.0
Northlandia Transport Service Multi-Purpose Cooperative (NORTRANSMPC),0.43,3.0
MR. JAYMAR T. EMBATE,0.43,46.0
LAMBUYAO SEA KABAYAN INCORPORATED,0.43005,11.0
LEE-ANN's Catering Services,0.43032,33.0
"Biotriune, Inc., BG's Marketing",0.4318,362.0
ROGELIO GARCIA,0.43645,4.0
William & Celia Bigasan,0.4375,2.0
SOUTH EMERALD DISTRIBUTION INC.,0.4389,4.0
K-Servico Trade Inc.,0.4399,7.0
"Southside Biomedical Sales and Services Co., Ltd.",0.44,3.0
Little Shanghai Novelty House,0.4405,56.0
Polyfoam-RGC International Corporation,0.4412,365.0
JIAN HOUSEWARE PRODUCTS,0.44124,10.0
ZAMBOANGA PENINSULA GAS CORPORATION,0.4416,73.0
Century Family Mall Corporation,0.4420342,8.0
"HBC, Inc.",0.44225,57.0
SATURNINO AGUSTIN JR,0.4425,54.0
Pedelmar Construction Supply,0.444,7.0
Art's All In One Marketing,0.4468,9.0
SIDLINGS HOG AND PULTRY SUPPLY,0.4485,30.0
ANIKA'S RESTAURANT,0.44875,13.0
TECHZONE INTERNET CAFE & PRINTING SERVICES,0.45,16.0
EQ Tailoring,0.45,11.0
Hangout Beach Resort,0.45,6.0
SUNGOLD COMMERCIAL,0.45,3.0
MANTIQUILLA FURNITURE SHOP,0.45,39.0
Dewey R. Gasilan,0.45,7.0
Step V Trading,0.45,14.0
Darwin D. Quinto,0.45,7.0
CVM Orchard and Eco-Park Inc,0.45,14.0
England Textiles,0.45,7.0
BARCHEM TRADING AND PEST CONTROL SERVICES,0.45,3.0
Three Rs Glass and Aluminum Supplies,0.45,7.0
"Sanosil Philippines, Inc.",0.45,14.0
BENGX GRAPHICS & ARCHITECTURAL SERVICES,0.4518,77.0
FB triqam Pharma and General Mdse,0.45225,14.0
Choscemkyn Garments,0.454,4.5
Cosasdeoficina Trading,0.454,10.0
Johnny Gajotan,0.455,10.0
Chemworld Marketing Corp.,0.45556,1.0
Chemworld Marketing Corporation,0.45556,1.0
Shepherd Medical Trading,0.456,7.0
QUECA'S FOOD HOUSE,0.4562,6.0
JAMIL ENTERPRISES,0.45745,26.5
PROCUREMENT-DBM,0.4576,3.0
SAM ROSE FURNITURE,0.458,42.0
DBM Procurement Service - Pampanga,0.458115,14.0
DOMALOFER ENTERPRISES,0.459,15.0
HFQ GLASS AND ALUMINUM SUPPLY,0.46,12.0
"SCIENTIFIC BIOTECH SPECIALTIES, INC.,",0.46,10.0
Clavinmar Enterprises,0.46,9.0
Avancena Sacks and Gas Trading,0.46048,7.0
PRECIOUS PRINCE ENTERPRISES,0.4608,7.0
CHER B TRADING,0.4613,8.0
CHOZ-A-MEDZ Corporation,0.4613,15.0
Numero 6 General Merchandising,0.4648,5.0
ZAVIA TRADING,0.465,7.0
Valderrama Gasoline Station,0.465024,3.0
Twenty Oaks Marketplace Corp.,0.4653478999999999,7.666666666666667
Dave & Kelly's General Merchandise,0.46577,4.5
Mercury Drug Corporation,0.46602,17.0
888 ACY ENTERPRISES,0.4685,10.0
Cayus Livelihood Association,0.4688,5.0
Jamm's Office ans School Supplies,0.4688,15.0
Raybenjen 23 Trading,0.47,11.0
BLUE DRAGON XVII,0.4705,9.0
GULFVIEW TRADING,0.47328,10.0
BDMT Medical Supply/Daiso Japan,0.4747,1.0
MAGIC 24 MARKETING,0.475,4.0
Lilei's Catering Services,0.4751,5.0
Go Forward Pest Control,0.4758,8.0
Labcore Inc. (Hi-Precision Diagnostics),0.476,9.0
Flavour Kitchen,0.4782,6.0
ariel and roda store,0.47975,2.5
DOMINADOR ACOSTA,0.48,10.0
Calvin Store,0.48,10.0
Victor L. Hinares,0.48,8.0
Mata Blacksmith and Welding Shop,0.48,5.0
JOCARL'S AIRCON CLEANING SERVICES,0.482,7.0
BIG TWENTY THREE T-SHIRT PRINTING,0.484,49.0
RGM Aranida General Merchanidse,0.484,5.0
Metrovision,0.48494,3.0
DU EK SAM INC.,0.485,7.0
Kenroche Catering Services,0.4851,15.0
Geefam Trading,0.48535,23.0
Xian Davin Enterprises,0.4855,30.0
BLUE DRAGON PHARMACEUTICAL CORPORATION,0.48645,8.0
PHARMA MEDICAL LINK,0.487,10.0
ericson tapay general merchandise,0.487,3.0
ECG DYNAMIC MEDICAL SYSTEM INC,0.4872,31.0
Southline Trading,0.48725,20.0
Rhea Agro-Chem & Veterinary Supply,0.48836,1.0
TUNGKEE TRADING AND GENERAL MERCHANDISE,0.49,1.0
JOEY CADAGO,0.49,10.0
Patokpok Furniture Shop,0.49,38.0
William and Celia's Bigasan,0.4900331,2.0
MICAELA's CATERING SERVICES,0.492,1.0
iLOILO IZEEM COMMERCIAL,0.492,8.0
PGA Green Global Solutions,0.4928,1.0
JININ CELLSHOP,0.493355,3.0
AFP COMMISSARY & EXCHANGE SERVICE,0.4935,31.0
BAGUIO CITY MOUNTAINEERS TRANSPORT ASSOCIATION INC.,0.494,20.0
ORTEGA GENERAL MERCHANDISE,0.4945,3.0
Ortega general Merchandise,0.4945,3.0
2 Go Global International Corporation,0.495,13.0
PUGAWI TRANSPORTATION SERVICES,0.495,23.0
DM CAR RENTAL SERVICES,0.495,7.0
R-Two Foodies,0.4968,4.0
CDCC PHARMACY,0.496982,6.25
Rosari Optical Clinic,0.497,6.0
77CSV CORPORTION,0.49705,1.0
Mr. Wilfredo Subtiniente,0.49715229999999994,1.5
Pingcon Marketing Corporation,0.49785,15.0
Emerlyn Tolentino General Merchandise,0.498,4.0
Net Atlas Printers Plus,0.498,5.0
CHEMVEST COMMERCIAL TRADING,0.49875,10.0
Jassen Harris Industries Corp.,0.49875,9.0
YSABEL'S KITCHEN,0.49875,5.0
PRIVMED Enterprises,0.49875,48.0
BLESSED TRUCK PARTS TRADING / CHONAZON A. BUENA,0.499,12.0
MNC MARKETING,0.4992,10.0
LYZET VARIETY STORE,0.4995,95.0
DILLA'S FOOD HOUSE,0.4998,4.0
"HYGIEIA INNOVATIONS AND TECHNOLOGY, INC.",0.5,21.0
Microwroks Computer Store,0.5,15.0
ARMANDO SEGAY,0.5,3.0
NL ASENIERO'S CATERING SERVICES,0.5,2.0
Rainphil Inc.,0.5,366.0
SOLARTECH INC.,0.5,14.0
Khepri Food Enterprise,0.5,33.0
GLH Gasoline and Service Station,0.5,51.0
GENEVIEVE RAFAEL,0.5,3.0
SMV ENTERPRISES,0.5,10.0
Mariveles WOmen and COmmunity MPC,0.5,16.0
Nirma J. Quijance,0.5,7.0
Imperial Appliance Plaza,0.5008,26.0
CLOUDSTORE IT WAREHOUSE ENTERPRISE,0.503,10.0
"ANG DESIGN STUDIOS, INC.",0.503,1.0
D&S Drugmart,0.50382,7.0
MEGASDM Industrial Sales,0.504,365.0
Pedro Laventa,0.5049,7.0
ABZKO Construction Corp.,0.50566,15.0
G-COR Pharmacy,0.507,2.0
Ellen's Agri Vet Supplies,0.5085,8.0
DBM- Procurement Service Region 10,0.50922,7.0
DIODORA'S ENTERPRISES,0.50934,7.0
RB Bornolla,0.5095825,12.0
"MEMBRANE SEPARATION TECHNOLOGY (MST) TRADING, INC",0.5102,56.0
"SURGIKLEEN, INC.",0.5112169999999999,30.0
Rebmann Incorprated,0.5145,365.0
Alternative Specialized Industries Inc.,0.515,73.0
GYPSIE'S STORE,0.51564,7.0
BELISON PETRON STATION,0.5160102,289.0
ONLINE COMPUTER CENTER CORPORATION,0.5171,2.0
Altecia Enterprises,0.5176,14.0
MERAâ€™S GENERAL MERCHANDISE,0.51764,46.0
"LSV GLOBAL VENTURES, INC.",0.518,8.0
KHEPRI FOOD ENTERPRISE,0.5184,29.0
PILI TOURIST TRANSPORT SERVICE COOPERATIVE,0.52,12.0
EDWIN DAMULLAN,0.52,10.0
Heaven Drops Water Refilling Station,0.52,5.0
Everland Agri Corporation,0.522,7.0
CHOZ-A-MEDZ CORPORATION,0.5225,49.0
Willy and Sons Corporation,0.52492,5.0
Hans Office Supply & Office Equipt. Mdsg.,0.5295,1.0
PG Micro world Computers,0.53,30.0
SJM Motor Parts and General Merchandise,0.53,10.0
Avesco Marketing Corporation,0.53,365.0
carewell bio-medical systems co,0.532,8.0
"Waltermart Supermarket, Inc.",0.5331775,1.0
WATSONS (FAMILY HEALTH & BEAUTY) DRUGSTORE,0.5332635,30.0
"EURO-MED LAB. PHIL., INC",0.53425,21.0
D. Graphics and General Merchandise,0.536,38.0
HEXA CM INDUSTRIAL AND TRADING CORPORATION,0.53747,49.0
BasbaÃ±o Rice Retailer,0.5385,6.0
CHONA'S STORE,0.539,9.0
CARESS88 TAILORING & MARKETING,0.54,15.0
Burac Hawan Ilaya Agriculture Cooperative (BUHAICO),0.54,7.0
Bukidnon Diners,0.54,14.0
ANNE M. BACADON,0.5404,14.0
ASS GENERAL MERCHANDISE,0.5415,22.0
Pharma Medica Pharmaceuticals,0.5423,7.0
Jama Fruit & Vegetable Store,0.546,7.0
Palawan Express Pera Padala,0.5478,19.0
FKV Beauty Products Shop,0.5482,70.0
Mediquip Medical Supplies & General Merchandise,0.549,18.0
GOODNESS A DAY TRADING,0.5496,1.0
Nutrifresh Chicken Trading Corporation,0.55,7.0
"Omnibus Bio-Medical Systems,Inc",0.55,30.0
QUEBEC PHARMACEUTICAL INC.,0.55,5.0
Carjay General Merchandise,0.55,33.5
JAYRIUS MANUEL,0.55,7.0
JOSIE MAR STORE,0.5509593,11.0
"Pintang Pinoy T-Shirt Printing and Gen, Merchandise",0.552,3.0
Perkin Elmer Instruments Phils Corp,0.5536115,77.0
CRISLENâ€™S MERCHANDISE,0.5549,46.0
Moatong Iron Works,0.555,7.0
MOATONG IRON WORKS,0.555,21.0
Philaser Marketing Corporation,0.5559,14.5
Reta Drugs,0.55965,5.0
TACIANA SISON,0.56,4.0
JNK Medical Sales,0.56,6.0
Q-Trade Corporation,0.56,14.0
"FAS DIAGNOSTIC GROUP, INC.",0.56,10.0
Taurus Rice Mill,0.56,2.0
ESTEBAN LAMES,0.56,10.0
GRY 88 PRINTS GRAPHIX SUPPLIES,0.5608,10.0
Building Dreams Pharma Group Inc.,0.5616,9.5
MJLG Sari-Sari Store,0.56225,4.0
Palawan ARC Cooperative Federation,0.5628,7.0
LOCN TRADING,0.5635,10.5
CENTRAMED PHILIPPINES COMPANY,0.564,15.0
Halibwayan Friendly Place and Enterprises,0.56681,7.0
GAJ Marketing,0.57,16.0
D' Escuro Tailoring,0.57,6.0
3KR'S ENTERPRISES,0.571,12.0
CAEZAR FISH BROKERAGE,0.572,1.0
ROY PLAZA CORPORATION,0.5736445,16.5
DBM Procurement Service - Depot operations,0.574847,7.25
LUZON QUICK SERVE TRADING CORPORATION,0.575,10.0
Metro Dumaguete Transport Cooperative,0.575,38.0
Malaybalay Glass House,0.57673,14.0
LYR MARKETING & FURNITURE CENTER,0.57832,15.0
Rizal Park Hotel,0.58,4.0
SF ALLIED INDUSTRIAL PRODUCTS,0.58,7.0
BF MERREN PHARMACEUTICALS,0.5809,7.0
Alluha's Catering Services & General Merchandise,0.583,15.0
JEREMIAH FEEDS TRADING,0.583,7.0
"Panamed Phils, Inc.",0.585,70.0
Z.C. Paperline and Computer Stationers,0.585,24.0
ZABBY ENTERPRISES,0.585,7.0
CHESKA MARIE Store,0.58616,7.5
Compadre Glass Supplyand Hardware,0.58748,34.0
"RHUMBA, INC.",0.588,5.0
Ka Ponching Fastfood and Catering Services,0.588,1.0
BLESSED ST.JOHN PHARMACEUTICAL GEN MDSE,0.588,1.0
RH Kem Enterprises,0.58855,31.0
RONNIE F. DALISAY FUNERAL SERVICES,0.58963,290.0
Naga La Suerte Glass and Merchandise,0.5915,17.0
Muriel's Food Service,0.5917,6.0
